City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Dickinson,US,29.4608,-95.0513,76.95,91,40,1.01,scattered clouds
80,Port Alfred,ZA,-33.5906,26.891,73.18,70,0,5.01,clear sky
81,Barrow,US,71.2906,-156.7887,17.62,79,100,16.11,overcast clouds
82,Nizhniy Tsasuchey,RU,50.5167,115.1333,61.09,28,63,10.13,broken clouds
83,Yellowknife,CA,62.456,-114.3525,36.12,69,75,12.66,broken clouds
84,Esperance,AU,-33.8667,121.9,57.85,75,57,12.77,broken clouds
85,Kaitangata,NZ,-46.2817,169.8464,49.68,84,97,4.97,overcast clouds
86,Puerto Ayora,EC,-0.7393,-90.3518,71.55,97,90,5.44,overcast clouds
87,Pocone,BR,-16.2567,-56.6228,67.21,94,100,8.25,overcast clouds
88,Nizhnevartovsk,RU,60.9344,76.5531,68.02,37,20,13.42,few clouds
89,Norrtalje,SE,59.758,18.705,53.78,34,7,12.68,clear sky
90,Parabel,RU,58.6978,81.4825,63.84,56,97,5.46,overcast clouds
91,Cidreira,BR,-30.1811,-50.2056,53.26,71,2,15.93,clear sky
92,Thompson,CA,55.7435,-97.8558,30.36,80,75,4.61,broken clouds
93,Itoman,JP,26.1247,127.6694,66.22,94,75,12.66,light rain
94,Antofagasta,CL,-23.65,-70.4,58.28,76,100,4.76,overcast clouds
95,Severo-Yeniseyskiy,RU,60.3725,93.0408,57.54,71,56,7.58,broken clouds
96,Lugovoy,KZ,42.9472,72.7644,74.08,48,30,3.6,scattered clouds
97,Hithadhoo,MV,-0.6,73.0833,83.5,77,81,14.67,broken clouds
98,Khatanga,RU,71.9667,102.5,32.27,91,100,11.86,overcast clouds
99,Bethel,US,41.3712,-73.414,66.04,94,0,1.01,clear sky
100,Karlovac,HR,45.4872,15.5478,85.01,50,52,1.99,broken clouds
101,Porto Novo,BJ,6.4965,2.6036,89.42,64,92,10.29,overcast clouds
102,Ternate,ID,0.8,127.4,82.4,77,79,3.87,broken clouds
103,Acarigua,VE,9.5545,-69.1956,77.92,77,100,2.08,overcast clouds
104,Gilgit,PK,35.9221,74.3087,77.59,35,65,4.63,broken clouds
105,Saldanha,ZA,-33.0117,17.9442,89.65,26,11,19.77,few clouds
106,Namatanai,PG,-3.6667,152.4333,79.84,76,100,4.61,overcast clouds
107,Tateyama,JP,34.9833,139.8667,61.11,89,100,18.28,overcast clouds
108,Bundaberg,AU,-24.85,152.35,71.22,99,40,5.75,scattered clouds
109,Gboko,NG,7.3179,8.9951,90.68,51,61,5.7,broken clouds
110,Melfi,IT,40.9965,15.6514,79.36,45,56,3.18,broken clouds
111,Nikolskoye,RU,59.7035,30.7861,49.91,84,100,8.01,overcast clouds
112,Nagato,JP,34.3833,131.2,59.83,66,100,4.52,overcast clouds
113,Qaanaaq,GL,77.484,-69.3632,20.14,78,26,7.45,scattered clouds
