City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
215,Kralendijk,BQ,80.58,scattered clouds,12.15,-68.2667,Divi Flamingo Beach Resort & Casino
217,Kollam,IN,79.56,overcast clouds,8.8833,76.6,The Raviz Ashtamudi
221,Petatlan,MX,76.24,broken clouds,17.5167,-101.2667,Hotel California Petatlán
227,Wiefelstede,DE,78.01,broken clouds,53.2574,8.1159,Grafe Jan-Gerd Dipl.-Ing.
229,Kailua,US,75.18,scattered clouds,21.4022,-157.7394,Sheffield House Bed & Breakfast
231,Ambon,ID,75.34,scattered clouds,-3.6954,128.1814,Swiss-Belhotel Ambon
233,Jalu,LY,89.62,clear sky,29.0331,21.5482,صاحبة الفخامة
238,San Patricio,US,76.87,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
240,Maceio,BR,78.24,few clouds,-9.6658,-35.7353,Hotel Ponta Verde Maceió
242,Semnan,IR,89.44,few clouds,35.5729,53.3971,Semnan Tourist Hotel
245,Tautira,PF,80.37,light rain,-17.7333,-149.15,Pension Oaoa
256,Tanga,TZ,83.84,clear sky,-5.0667,39.1,Lulu Image Hotel
260,Caravelas,BR,79.38,broken clouds,-17.7125,-39.2481,Pousada dos Navegantes
266,Touros,BR,81.93,broken clouds,-5.1989,-35.4608,INN NEW HORIZON
267,Bambous Virieux,MU,80.22,light rain,-20.3428,57.7575,Casa Tia Villa
269,George Town,MY,80.53,very heavy rain,5.4112,100.3354,Cititel Penang
270,Kununurra,AU,75.18,clear sky,-15.7667,128.7333,Hotel Kununurra
271,Calderitas,MX,75.63,clear sky,18.55,-88.25,Hotel Hacienda Campestre
277,Santa Maria Da Boa Vista,BR,82.6,broken clouds,-8.8078,-39.8256,Fênix Hotel e Restaurante
278,Puerto Escondido,MX,77.83,clear sky,15.85,-97.0667,Aldea del Bazar Hotel and Spa
290,Pasni,PK,87.69,clear sky,25.2631,63.471,Kashmiri Hotal
291,Kieta,PG,78.82,light rain,-6.2167,155.6333,Uruna Bay Retreat
293,Cockburn Town,TC,79.2,overcast clouds,21.4612,-71.1419,Osprey Beach Hotel
294,Saint-Pierre,RE,76.68,broken clouds,-21.3393,55.4781,Alize Plage
295,Sola,VU,80.51,overcast clouds,-13.8833,167.55,Leumerus Bungalows
296,Sao Jose Da Coroa Grande,BR,81.73,broken clouds,-8.8978,-35.1478,Crôa Mares Hotel
297,Fomboni,KM,81.41,few clouds,-12.28,43.7425,Auberge les abou
299,Singkang,MY,75.96,overcast clouds,2.1006,102.7994,Kampung Seri Makmor Pagoh
300,Karonga,MW,79.27,few clouds,-9.9333,33.9333,Sumuka Inn
304,Kasama,ZM,75.69,few clouds,-10.2129,31.1808,Kalebalika Cottages
306,Salalah,OM,87.89,few clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
307,Posse,BR,81.25,overcast clouds,-14.0931,-46.3694,Pousada das Palmeiras
308,Morant Bay,JM,80.22,overcast clouds,17.8815,-76.4093,Whispering Bamboo Cove Resort
312,Arraial Do Cabo,BR,75.06,few clouds,-22.9661,-42.0278,Pousada Porto Praia
315,Maxixe,MZ,78.62,scattered clouds,-23.8597,35.3472,Oceano
316,Senanga,ZM,79.09,clear sky,-16.1167,23.2667,Zango lodge
321,Jabinyanah,TN,87.6,few clouds,35.035,10.9081,maison belmabrouk
327,Ca Mau,VN,83.39,moderate rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
330,San-Pedro,CI,81.9,light rain,4.7485,-6.6363,Hotel Maria
341,Natal,BR,79.45,broken clouds,-5.795,-35.2094,Villa Park Hotel | Natal
343,Isangel,VU,76.08,broken clouds,-19.55,169.2667,Tanna Lodge
346,Tabou,CI,82.62,light rain,4.423,-7.3528,hotêl doufoulougou
348,Jiwani,PK,87.31,clear sky,25.05,61.7417,Al Mumtaz Transport Jiwani
350,Pathein,MM,85.48,very heavy rain,16.7833,94.7333,Pathein Hotel
352,Braganca,BR,81.9,overcast clouds,-1.0536,-46.7656,Marujo's Suíte Hotel
354,Conceicao Do Araguaia,BR,80.94,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
355,Samarai,PG,80.13,scattered clouds,-10.6167,150.6667,Nuli Sapi
357,Kouvaras,GR,83.52,few clouds,37.8333,23.9667,Pantheon Hotel Athens Airport
358,Vila Do Maio,CV,86.79,scattered clouds,15.1333,-23.2167,Hotel Marilu
360,Pyay,MM,83.73,broken clouds,18.8167,95.2167,Shwe Pyi Thar
363,Oistins,BB,80.69,scattered clouds,13.0667,-59.5333,Butterfly Beach Hotel
364,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
366,Sao Joao Da Barra,BR,75.29,broken clouds,-21.6403,-41.0511,Pousada Porto De Canoas
369,Vaitape,PF,81.61,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
372,Luau,AO,82.38,clear sky,-10.7073,22.2247,Casa- Bernardo Cândido
378,Itarema,BR,81.05,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
379,Tsiroanomandidy,MG,79.41,few clouds,-18.7667,46.0333,Hotel Ravinala
380,Niquero,CU,78.4,broken clouds,20.0431,-77.5828,Islazul Niquero
385,Candolim,IN,89.6,scattered clouds,15.5181,73.7626,Resort Terra Paraiso
386,Plettenberg Bay,ZA,79.14,clear sky,-34.0527,23.3716,Thanda Vista B&B
391,Anloga,GH,83.75,overcast clouds,5.7947,0.8973,Pin Drop Hotel
394,Saint-Paul,RE,77.11,scattered clouds,-21.0096,55.2707,Boucan Canot
397,Estelle,US,78.78,broken clouds,29.8458,-90.1067,Boomtown Casino & Hotel New Orleans
398,Volchikha,RU,77.07,overcast clouds,52.0333,80.3833,Gostinitsa
