City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
67,Luganville,VU,2022-05-16 02:20:06,-15.5333,167.1667,81.77,68,100,11.25
68,Bodden Town,KY,2022-05-16 02:20:06,19.2833,-81.25,80.6,77,40,7.0
69,Isiro,CD,2022-05-16 02:19:12,2.7739,27.616,65.32,97,100,1.99
70,Grand Gaube,MU,2022-05-16 02:20:07,-20.0064,57.6608,73.8,89,25,5.01
71,Wukari,NG,2022-05-16 02:20:07,7.85,9.7833,78.42,78,86,3.71
72,Barrow,US,2022-05-16 02:17:48,71.2906,-156.7887,32.02,86,100,13.8
73,College,US,2022-05-16 02:17:55,64.8569,-147.8028,51.58,52,75,12.66
74,Hithadhoo,MV,2022-05-16 02:17:42,-0.6,73.0833,82.96,76,100,11.52
75,Ambikapur,IN,2022-05-16 02:20:08,23.1167,83.2,92.89,32,56,13.49
76,Vaini,TO,2022-05-16 02:17:51,-21.2,-175.2,77.16,69,40,5.75
77,Cayenne,GF,2022-05-16 02:20:09,4.9333,-52.3333,82.09,1,75,5.01
78,Cape Town,ZA,2022-05-16 02:18:50,-33.9258,18.4232,62.11,93,0,5.75
79,Saskylakh,RU,2022-05-16 02:20:09,71.9167,114.0833,33.78,100,100,5.06
80,Shache,CN,2022-05-16 02:20:10,38.4167,77.2406,64.71,41,100,8.05
81,Qaqortoq,GL,2022-05-16 02:20:10,60.7167,-46.0333,31.35,74,52,2.91
82,Wroclaw,PL,2022-05-16 02:20:11,51.1,17.0333,47.07,82,0,3.44
83,Abalak,RU,2022-05-16 02:20:11,58.1286,68.5944,55.24,72,100,6.38
84,Sayyan,YE,2022-05-16 02:20:12,15.1718,44.3244,56.52,19,0,3.89
85,Mandera,KE,2022-05-16 02:20:12,3.9366,41.867,77.11,70,31,13.89
86,Pisco,PE,2022-05-16 02:20:13,-13.7,-76.2167,61.02,88,6,2.3
87,Bethanien,NA,2022-05-16 02:20:13,-26.502,17.1583,60.03,28,0,6.76
88,Walvis Bay,NA,2022-05-16 02:20:13,-22.9575,14.5053,67.5,45,0,3.71
89,Karratha,AU,2022-05-16 02:20:14,-20.7377,116.8463,81.14,28,11,19.69
90,Bordighera,IT,2022-05-16 02:20:14,43.7806,7.6645,64.62,84,63,1.99
91,Butaritari,KI,2022-05-16 02:20:15,3.0707,172.7902,81.91,73,38,11.01
92,Hermanus,ZA,2022-05-16 02:20:15,-34.4187,19.2345,58.8,60,0,9.71
93,Ponta Do Sol,PT,2022-05-16 02:19:35,32.6667,-17.1,69.01,86,37,6.15
94,Mazamari,PE,2022-05-16 02:20:15,-11.3258,-74.5308,71.22,94,91,2.17
95,Yinchuan,CN,2022-05-16 02:20:16,38.4681,106.2731,67.17,7,0,8.81
96,Geraldton,AU,2022-05-16 02:20:16,-28.7667,114.6,68.41,56,0,12.66
97,Mimongo,GA,2022-05-16 02:20:17,-1.6195,11.6068,69.69,98,97,0.2
98,Da Nang,VN,2022-05-16 02:16:25,16.0678,108.2208,85.98,70,40,1.14
99,Camacha,PT,2022-05-16 02:20:17,33.0833,-16.3333,62.02,94,0,2.3
100,Torbay,CA,2022-05-16 02:15:19,47.6666,-52.7314,30.58,87,75,4.61
101,Chokurdakh,RU,2022-05-16 02:20:18,70.6333,147.9167,21.11,82,100,13.33
102,Coquimbo,CL,2022-05-16 02:20:18,-29.9533,-71.3436,56.93,82,100,2.3
103,Duluth,US,2022-05-16 02:20:19,46.7833,-92.1066,63.88,37,40,12.66
104,Magpet,PH,2022-05-16 02:20:19,7.1119,125.1133,83.91,70,99,0.94
105,Samarai,PG,2022-05-16 02:20:19,-10.6167,150.6667,82.85,70,2,5.84
106,Llanes,ES,2022-05-16 02:20:20,43.4198,-4.7549,62.35,75,36,6.53
107,Caravelas,BR,2022-05-16 02:20:20,-17.7125,-39.2481,73.4,78,100,5.39
108,Kahului,US,2022-05-16 02:20:21,20.8947,-156.47,86.02,48,40,14.97
109,Kulachi,PK,2022-05-16 02:20:21,31.9286,70.4592,94.73,11,3,11.68
110,Santa Rosa,PH,2022-05-16 02:18:01,14.3122,121.1114,89.58,77,88,2.75
111,Shaunavon,CA,2022-05-16 02:20:22,49.6501,-108.4181,64.18,40,84,1.81
112,Kaeo,NZ,2022-05-16 02:20:22,-35.1,173.7833,72.32,75,11,10.92
113,Luderitz,NA,2022-05-16 02:20:23,-26.6481,15.1594,71.58,27,24,8.25
114,Guerrero Negro,MX,2022-05-16 02:20:23,27.9769,-114.0611,64.47,75,71,16.33
115,Sao Filipe,CV,2022-05-16 02:20:06,14.8961,-24.4956,75.13,75,92,6.33
116,Dikson,RU,2022-05-16 02:20:24,73.5069,80.5464,34.72,93,100,14.61
117,Mikuni,JP,2022-05-16 02:20:24,36.2171,136.1519,64.31,57,100,7.02
118,Touros,BR,2022-05-16 02:20:25,-5.1989,-35.4608,76.8,90,86,7.63
119,Pevek,RU,2022-05-16 02:20:25,69.7008,170.3133,28.71,77,94,4.38
120,Cardston,CA,2022-05-16 02:20:26,49.2,-113.3019,61.09,39,100,4.61
121,Bara,NG,2022-05-16 02:20:26,10.3744,10.7288,82.72,57,42,5.32
122,Yellowknife,CA,2022-05-16 02:20:27,62.456,-114.3525,52.32,43,75,9.22
123,Nassau,US,2022-05-16 02:17:16,40.7507,-73.5829,70.09,80,40,5.75
124,Stromness,GB,2022-05-16 02:20:27,58.965,-3.296,48.16,91,8,14.0
125,Peace River,CA,2022-05-16 02:20:28,56.2501,-117.286,64.71,22,20,3.44
126,Aquiraz,BR,2022-05-16 02:20:28,-3.9014,-38.3911,78.89,88,99,8.48
127,Hamilton,US,2022-05-16 02:20:29,39.1834,-84.5333,74.25,63,0,5.75
128,Angoche,MZ,2022-05-16 02:20:29,-16.2325,39.9086,68.97,91,5,9.13
129,Lasa,IT,2022-05-16 02:20:30,46.6166,10.7002,61.68,90,96,1.88
130,Trairi,BR,2022-05-16 02:20:14,-3.2778,-39.2689,76.48,92,100,6.78
131,Monopoli,IT,2022-05-16 02:20:30,40.9559,17.2896,67.71,68,99,0.74
132,Manono,CD,2022-05-16 02:20:31,-7.3,27.4167,71.13,60,90,3.38
133,Vila Franca Do Campo,PT,2022-05-16 02:20:31,37.7167,-25.4333,65.19,90,78,31.21
134,Mackay,AU,2022-05-16 02:20:32,-21.15,149.2,83.68,72,0,7.16
135,Raga,SS,2022-05-16 02:20:32,8.4596,25.678,73.6,83,100,1.57
136,San Isidro,PE,2022-05-16 02:20:33,-12.1167,-77.05,66.02,79,54,11.5
137,Paka,MY,2022-05-16 02:20:33,4.6374,103.4368,76.93,100,40,1.14
138,Aklavik,CA,2022-05-16 02:20:34,68.2191,-135.0107,32.22,98,100,8.19
139,Alice Springs,AU,2022-05-16 02:20:34,-23.7,133.8833,71.15,32,40,13.8
140,San Jose,US,2022-05-16 02:16:32,37.3394,-121.895,70.84,52,40,12.66
141,Georgetown,MY,2022-05-16 02:16:08,5.4112,100.3354,84.13,81,20,5.75
142,Coruripe,BR,2022-05-16 02:20:35,-10.1256,-36.1756,76.84,86,100,5.53
143,Buritis,BR,2022-05-16 02:20:35,-15.6178,-46.4233,74.53,56,39,1.63
144,Hede,CN,2022-05-16 02:20:36,33.7681,120.2517,76.75,27,0,12.39
145,Panzhihua,CN,2022-05-16 02:20:36,26.5851,101.7128,66.22,71,100,0.58
